181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000035059	1071	1183	1692	1692	762	710	2434	1834	803	790	876	796
ENSSSCG00000035061	625	808	1597	1424	1281	903	2068	1903	950	1507	1185	1483
ENSSSCG00000035066	10	6	4	0	54	156	25	39	472	164	247	524
ENSSSCG00000035068	0	0	4	0	0	0	3	0	0	2	0	0
ENSSSCG00000035069	273	154	1000	1167	448	538	1061	1240	562	538	522	534
ENSSSCG00000035070	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035071	0	2	7	2	1	1	6	9	8	5	16	5
ENSSSCG00000035073	11	2	7	12	2	2	7	12	36	16	15	28
ENSSSCG00000035074	38	28	396	370	259	316	129	86	450	476	331	503
ENSSSCG00000035077	102	92	354	459	62	40	305	164	94	120	168	99
ENSSSCG00000035078	46	87	193	200	47	59	517	510	123	135	106	105
ENSSSCG00000035080	58928	72923	76065	72456	60936	55769	103057	79550	42538	49679	38762	49509
ENSSSCG00000035081	150	151	477	612	242	199	683	607	178	220	211	220
ENSSSCG00000035082	1462	1609	2279	2002	1571	1482	2661	2301	1412	1793	1433	1596
ENSSSCG00000035083	1	5	19	14	1	3	2	3	1	1	0	0
ENSSSCG00000035087	0	0	0	0	0	0	0	1	0	0	0	1
ENSSSCG00000035090	6109	7540	13089	11941	8662	8727	15278	12314	7999	9048	8816	8610
ENSSSCG00000035091	21	45	151	198	137	145	502	560	762	659	723	651
ENSSSCG00000035093	536	629	4639	3390	1713	1027	952	1201	479	1091	646	557
ENSSSCG00000035098	899	990	1701	1751	1644	1686	2423	2099	2026	2122	1961	2205
ENSSSCG00000035100	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035101	785	1242	3327	2617	2733	3514	3264	1485	2256	2646	1969	2939
ENSSSCG00000035102	31	7	51	136	27	24	64	35	15	6	2	22
ENSSSCG00000035103	168	242	498	500	326	276	482	433	439	540	473	430
ENSSSCG00000035105	419	495	65	52	1489	1754	215	196	2815	3160	3734	2241
ENSSSCG00000035107	9	8	13	13	2	15	41	28	84	60	64	71
ENSSSCG00000035110	0	0	0	0	0	0	0	0	0	0	1	0
ENSSSCG00000035111	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035112	0	0	0	0	0	0	0	0	0	0	0	5
ENSSSCG00000035118	1057	1222	2245	2207	2057	2052	2773	2695	2607	3047	2564	2651
ENSSSCG00000035119	1069	1236	2651	2632	2021	2115	3491	2920	2519	2809	2747	2486
ENSSSCG00000035120	874	1015	2406	2625	2250	2395	2686	2461	2377	2875	2384	2704
ENSSSCG00000035121	4	8	9	13	3	2	48	22	6	1	4	7
ENSSSCG00000035123	206	250	566	509	396	350	587	465	275	371	321	341
ENSSSCG00000035124	63	109	302	296	157	141	586	493	223	152	246	206
ENSSSCG00000035132	116	111	162	155	143	148	318	236	134	185	141	158
ENSSSCG00000035133	659	649	1509	1415	1296	1432	1601	1202	1643	1649	1703	1475
ENSSSCG00000035134	794	971	1327	1180	1035	944	1840	1525	943	1101	891	1011
ENSSSCG00000035135	0	0	0	0	1	0	0	0	0	0	0	0
ENSSSCG00000035136	291	249	564	500	399	407	1159	1486	521	507	551	447
ENSSSCG00000035142	36	84	201	181	128	120	461	350	607	546	694	629
ENSSSCG00000035147	17	12	87	87	49	65	176	172	99	135	97	117
ENSSSCG00000035148	161	186	441	444	370	490	1265	1296	1904	1849	1834	1825
ENSSSCG00000035152	448	511	1592	1487	1511	1230	1236	1136	2193	2510	2071	2309
ENSSSCG00000035153	107	64	161	191	112	99	612	574	293	293	301	294
ENSSSCG00000035155	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035158	0	0	1	0	0	0	0	0	0	0	0	0
ENSSSCG00000035161	463	584	803	1041	580	631	2162	1919	880	885	825	820
ENSSSCG00000035162	179	238	399	416	471	387	665	666	688	696	660	621
ENSSSCG00000035170	156	109	364	453	189	223	1970	1390	573	516	569	591
ENSSSCG00000035171	11	3	2	0	1	0	0	0	3	0	2	1
ENSSSCG00000035176	1211	1210	1590	1315	3631	3047	1066	1434	2022	2883	2157	2323
ENSSSCG00000035182	75	150	358	367	172	164	391	404	353	350	321	329
ENSSSCG00000035186	17	48	28	79	75	14	45	43	34	122	199	35
ENSSSCG00000035189	115	72	489	425	136	153	2092	1262	432	418	411	487
ENSSSCG00000035193	855	866	866	808	1019	879	1223	1034	1124	1183	1083	1142
ENSSSCG00000035195	700	688	633	627	831	1049	1949	1650	1024	1639	1223	1321
ENSSSCG00000035196	147	146	441	464	194	248	673	666	424	447	421	450
ENSSSCG00000035199	432	538	81	79	1442	1730	227	216	2424	2563	2476	2352
ENSSSCG00000035206	2	2	2	3	0	0	3	0	0	0	0	0
ENSSSCG00000035208	1	0	0	3	1	2	8	5	5	4	12	10
ENSSSCG00000035209	3362	3205	4947	5133	3080	3171	6088	4508	3519	3783	3228	3556
ENSSSCG00000035211	268	228	647	549	421	449	857	787	494	597	579	528
ENSSSCG00000035212	1808	2153	5393	5933	3714	5118	12267	11015	5937	5835	5725	5980
ENSSSCG00000035214	0	0	0	1	3	3	3	2	6	0	0	3
ENSSSCG00000035216	18	23	69	84	35	45	199	158	78	76	128	74
ENSSSCG00000035218	57	28	164	174	79	82	586	508	192	198	206	194
ENSSSCG00000035221	179	213	598	507	364	376	833	859	565	571	575	504
ENSSSCG00000035222	44	35	359	215	19	47	564	753	24	36	32	40
ENSSSCG00000035223	74	41	151	125	316	739	90	74	996	757	673	821
ENSSSCG00000035224	136	148	588	446	276	243	785	985	330	409	360	344
ENSSSCG00000035226	0	2	4	0	2	2	0	0	3	0	0	4
ENSSSCG00000035227	149	359	957	525	14	20	591	47	116	94	123	94
ENSSSCG00000035230	864	843	3277	2610	3450	3278	3881	4813	5300	6011	5665	5448
ENSSSCG00000035234	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035238	758	884	2585	2260	1036	1088	2742	2480	1084	1292	1296	1122
ENSSSCG00000035240	106	88	284	274	266	108	314	303	196	197	289	171
ENSSSCG00000035243	110	164	599	557	31	38	476	112	62	58	50	56
ENSSSCG00000035244	0	0	0	0	0	0	0	0	1	0	0	0
ENSSSCG00000035245	0	0	0	0	0	0	3	0	0	0	0	0
ENSSSCG00000035248	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035249	184	187	356	329	649	847	908	650	634	591	356	571
ENSSSCG00000035251	7	6	68	46	7	0	6	4	0	6	6	6
ENSSSCG00000035252	0	0	0	1	3	1	4	5	24	8	11	17
ENSSSCG00000035253	97	92	244	285	309	405	327	330	806	790	553	854
ENSSSCG00000035254	200	251	544	653	312	357	981	838	455	450	477	511
ENSSSCG00000035256	18	35	113	102	14	17	106	207	48	57	47	38
ENSSSCG00000035257	0	0	0	0	0	0	0	0	0	0	0	1
ENSSSCG00000035258	423	431	683	715	634	611	1195	1022	716	756	706	797
ENSSSCG00000035259	2297	2283	4566	4568	3194	3295	6155	5476	5960	5529	5830	5284
ENSSSCG00000035262	17	28	45	67	4	11	78	39	9	12	8	10
ENSSSCG00000035264	1566	1468	2965	2800	2232	2100	3088	2731	2267	2797	2695	2464
ENSSSCG00000035267	1	0	3	2	2	3	0	0	0	4	0	3
ENSSSCG00000035269	91	96	270	387	37	31	29	48	25	35	38	36
ENSSSCG00000035275	0	2	0	0	3	0	10	9	0	2	0	4
ENSSSCG00000035276	0	1	4	2	3	3	12	21	12	14	22	14
ENSSSCG00000035278	0	0	0	0	0	0	0	1	0	0	0	0
ENSSSCG00000035281	1152	1595	3134	3768	1709	2581	4823	4069	3954	3961	3486	4131
ENSSSCG00000035283	0	0	0	0	0	0	0	0	0	0	1	0
ENSSSCG00000035284	573	648	2881	2510	766	897	3370	3463	1800	2294	2135	1908
ENSSSCG00000035288	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035290	4	9	16	23	10	16	60	51	34	21	33	23
ENSSSCG00000035293	57185	61912	75326	66028	257200	227262	102247	89015	158637	228506	178756	195261
ENSSSCG00000035296	8	7	13	43	19	16	29	28	72	29	64	59
ENSSSCG00000035297	169	249	677	635	124	230	1929	1319	482	458	401	417
ENSSSCG00000035299	1673	1457	2485	2285	2325	3355	9457	8687	4803	2372	3183	4996
ENSSSCG00000035302	31	35	142	131	84	98	75	45	39	41	31	34
ENSSSCG00000035304	540	621	1251	1191	1072	1005	1247	1186	1126	1222	1066	1184
ENSSSCG00000035306	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035307	5	7	31	41	3	6	39	28	27	25	35	26
ENSSSCG00000035312	0	0	0	0	2	0	0	1	0	3	4	2
ENSSSCG00000035313	287	354	1284	1069	728	741	560	546	286	426	316	298
ENSSSCG00000035315	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035318	1533	1785	3456	3422	2555	2623	4471	3997	4686	4314	4859	4218
ENSSSCG00000035319	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035320	0	1	1	1	5	3	27	17	73	78	44	80
ENSSSCG00000035324	0	5	0	0	1	0	1	0	3	1	6	3
ENSSSCG00000035326	0	0	0	1	0	0	0	0	2	2	3	2
ENSSSCG00000035332	1273	1389	3112	2984	2103	2166	6261	6261	3304	2920	3063	2916
ENSSSCG00000035335	0	4	5	1	2	5	2	9	7	12	19	10
ENSSSCG00000035336	10	4	10	3	2	7	20	23	40	25	26	39
ENSSSCG00000035337	0	0	0	0	0	0	0	24	0	0	0	0
ENSSSCG00000035338	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035341	2002	1859	3822	3770	2537	3055	4838	4507	3555	3702	3979	3424
ENSSSCG00000035344	979	1129	2673	2381	2238	1937	2587	1979	943	1206	1056	1124
ENSSSCG00000035345	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035347	0	0	0	0	0	0	0	0	0	0	0	1
ENSSSCG00000035354	0	0	0	1	0	0	0	0	0	0	0	0
ENSSSCG00000035355	414	344	578	579	556	548	533	509	838	860	903	795
ENSSSCG00000035357	1056	1435	2484	2352	1317	1393	2446	2273	1088	1270	1306	1195
ENSSSCG00000035360	0	0	5	2	4	0	3	3	3	0	0	4
ENSSSCG00000035362	4	0	0	4	2	2	2	7	1	1	2	0
ENSSSCG00000035363	0	0	0	0	2	0	0	0	0	0	0	0
ENSSSCG00000035366	325	332	1016	1001	640	1435	1406	1383	887	1011	1025	834
ENSSSCG00000035369	6	15	35	30	39	33	126	93	117	111	141	101
ENSSSCG00000035371	261	269	832	1292	514	452	1025	1028	716	840	741	730
ENSSSCG00000035372	3	17	0	0	30	9	1	4	6	8	3	7
ENSSSCG00000035374	133	179	261	253	283	244	255	184	184	276	201	216
ENSSSCG00000035375	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035376	2078	2570	4418	3949	4247	3667	5889	5183	5534	5695	5646	5497
ENSSSCG00000035377	0	1	0	0	2	0	2	3	0	3	0	0
ENSSSCG00000035379	47	58	104	77	62	69	133	237	117	98	94	130
ENSSSCG00000035388	41	54	59	48	74	48	115	106	91	98	122	110
ENSSSCG00000035390	490	480	1347	1248	1035	947	1394	1075	1312	1505	1469	1314
ENSSSCG00000035392	4199	5430	11061	9338	4989	3872	6626	3824	1551	1895	1447	1487
ENSSSCG00000035393	615	704	1117	1149	668	652	1787	1481	1013	1069	957	1034
ENSSSCG00000035394	0	1	3	1	2	1	2	5	12	8	8	3
ENSSSCG00000035397	1	3	0	2	0	0	0	0	2	0	2	2
ENSSSCG00000035400	226	154	724	816	687	734	1395	1090	2242	1877	2451	1925
ENSSSCG00000035401	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035402	37	74	174	135	144	55	149	179	379	246	324	350
ENSSSCG00000035403	138	153	136	108	486	539	181	219	480	824	889	504
ENSSSCG00000035404	2	13	10	19	12	31	47	36	65	44	62	45
ENSSSCG00000035405	0	0	0	0	0	0	0	0	0	0	1	0
ENSSSCG00000035409	2	0	0	0	0	3	1	0	1	3	2	7
ENSSSCG00000035410	1997	2042	3088	3158	2583	2871	3928	3589	3824	3794	3979	3555
ENSSSCG00000035414	980	1059	2740	2829	1173	816	2169	1953	1051	1208	1200	1013
ENSSSCG00000035417	6	3	63	38	11	16	8	7	5	9	7	8
ENSSSCG00000035419	497	450	1702	1765	1358	1849	5550	4420	1917	2026	1519	1947
ENSSSCG00000035420	312	385	988	660	920	638	742	673	897	902	817	1079
ENSSSCG00000035421	544	616	225	248	544	434	39	25	640	1332	1019	675
ENSSSCG00000035427	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035428	3	0	1	0	0	0	0	0	0	0	0	0
ENSSSCG00000035429	1431	1566	5	9	4452	5564	23	24	8519	11966	10810	8714
ENSSSCG00000035430	143	197	584	463	687	950	833	893	1351	1567	1183	1596
ENSSSCG00000035432	1456	1455	2415	2529	1797	2104	2795	2496	2801	3074	2653	3344
ENSSSCG00000035436	2	0	1	1	2	0	1	8	4	3	2	2
ENSSSCG00000035439	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035442	360	381	1651	1343	346	386	2052	1746	625	614	663	510
ENSSSCG00000035443	0	0	5	2	1	3	7	8	4	4	4	14
ENSSSCG00000035445	2	0	13	12	4	3	14	17	21	17	22	32
ENSSSCG00000035446	11465	9552	14225	14164	22519	23942	23423	24522	28241	32180	27059	29466
ENSSSCG00000035447	0	0	0	0	3	0	0	0	0	0	0	0
ENSSSCG00000035448	159	108	532	530	368	370	766	781	683	807	728	594
ENSSSCG00000035452	661	719	1741	1823	1237	1375	2413	1888	1711	1730	1767	1663
ENSSSCG00000035454	2435	2606	7587	7515	3439	3054	6468	8013	4064	4651	4890	4443
ENSSSCG00000035456	59	83	367	313	47	54	385	107	85	81	92	59
ENSSSCG00000035457	0	2	0	0	0	0	0	2	0	0	0	0
ENSSSCG00000035460	0	0	0	0	0	0	0	1	5	0	3	2
ENSSSCG00000035465	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035471	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035472	605	659	1188	1148	659	701	1600	1191	979	1032	985	908
ENSSSCG00000035477	20	9	32	36	34	32	116	126	390	260	326	285
ENSSSCG00000035478	1370	1604	3186	2960	4976	5456	4529	4100	8047	7435	8180	7176
ENSSSCG00000035479	1067	1182	3756	3373	2001	1910	3331	4782	2504	2352	2558	2324
ENSSSCG00000035481	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035487	0	0	0	0	0	0	0	0	0	1	1	0
ENSSSCG00000035488	3721	4308	839	787	6574	7304	1130	970	5784	7204	7176	5327
ENSSSCG00000035489	175	217	391	438	290	297	883	728	439	407	344	417
ENSSSCG00000035493	1944	1978	2697	2450	2815	3204	3293	2816	6554	4771	6357	5024
ENSSSCG00000035494	0	0	0	0	0	0	1	0	0	0	0	0
ENSSSCG00000035495	451	461	1866	1667	845	1074	2250	2587	3061	2308	2622	2953
ENSSSCG00000035501	562	644	1369	1329	775	823	1943	1756	1658	1576	1806	1440
ENSSSCG00000035505	2443	2747	3947	4191	3675	4585	6505	5465	6535	6288	6299	6076
ENSSSCG00000035506	0	2	10	6	6	10	28	42	39	45	44	44
ENSSSCG00000035508	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035511	628	662	3196	3005	741	825	1803	1984	1089	1264	1223	1187
ENSSSCG00000035512	1	6	12	8	2	1	10	9	6	2	4	0
ENSSSCG00000035521	56	69	18	20	512	350	68	29	344	517	339	329
ENSSSCG00000035523	2342	2281	4558	5292	2939	3518	5495	5067	4050	4189	4409	4152
ENSSSCG00000035524	53	154	498	305	16	16	47	40	98	45	77	92
ENSSSCG00000035525	135	108	316	415	38	42	328	243	151	526	336	127
ENSSSCG00000035527	102	209	390	386	266	298	1044	918	992	842	943	882
ENSSSCG00000035529	0	0	7	5	0	0	3	4	0	0	1	0
ENSSSCG00000035532	2618	2883	4668	4257	6059	5344	4880	4159	6550	6319	5556	6957
ENSSSCG00000035534	4	4	20	21	19	20	43	31	48	31	60	45
ENSSSCG00000035537	179	281	871	764	213	375	1472	660	342	409	353	444
ENSSSCG00000035539	1721	1680	5043	4948	3375	3579	1770	2073	4810	5626	4664	5346
ENSSSCG00000035544	2748	3041	4624	4881	2929	2665	5344	4130	2490	2603	2490	2473
ENSSSCG00000035546	1	0	0	0	1	0	0	3	7	4	6	3
ENSSSCG00000035550	0	0	0	0	0	0	0	0	0	3	0	0
ENSSSCG00000035554	62	23	571	660	32	30	112	115	70	64	36	54
ENSSSCG00000035555	754	869	2202	1933	3064	2800	1719	1582	2769	3506	2583	2880
ENSSSCG00000035557	6	3	27	41	23	18	112	59	37	55	36	34
ENSSSCG00000035558	0	0	0	0	0	0	0	0	1	0	0	0
ENSSSCG00000035559	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035561	97	82	287	270	236	208	544	491	213	222	220	221
ENSSSCG00000035562	0	0	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000035564	6837	6866	9689	9574	4079	4164	11038	9289	4759	5105	4849	4717
ENSSSCG00000035565	363	462	827	842	641	719	1097	846	822	817	934	791
ENSSSCG00000035570	5894	7138	9325	9488	7477	7134	12595	10820	10238	10858	10472	10441
ENSSSCG00000035574	9	5	41	28	8	9	80	34	18	12	14	10
ENSSSCG00000035577	0	0	5	9	2	4	35	42	15	9	10	11
ENSSSCG00000035581	137	155	300	321	220	226	553	369	291	246	237	253
ENSSSCG00000035582	13	9	31	48	42	86	207	210	472	257	312	307
ENSSSCG00000035583	61	80	386	292	71	68	227	193	77	98	77	49
ENSSSCG00000035584	22	32	95	123	3	12	44	9	1	8	6	2
ENSSSCG00000035585	527	475	1827	1637	744	880	1981	1796	1011	1232	1196	956
ENSSSCG00000035586	0	0	0	0	0	0	2	4	1	3	2	0
ENSSSCG00000035587	0	0	1	3	0	0	0	0	0	0	0	0
ENSSSCG00000035592	0	0	1	3	1	0	1	10	3	2	0	0
ENSSSCG00000035594	24	30	90	138	118	124	527	546	1578	1127	1407	1137
ENSSSCG00000035595	671	565	1589	1555	388	885	7223	4127	1881	1305	1839	1467
ENSSSCG00000035596	5	11	23	21	34	37	125	148	201	188	285	165
ENSSSCG00000035598	49	52	139	173	16	43	225	204	46	62	67	39
ENSSSCG00000035599	0	1	16	12	1	2	0	0	0	1	0	0
ENSSSCG00000035600	59	79	89	70	67	65	97	67	118	112	103	100
ENSSSCG00000035602	14	11	2	2	6	1	5	2	2	8	3	4
ENSSSCG00000035603	98	103	170	145	113	97	158	132	192	203	127	164
ENSSSCG00000035604	295	343	929	831	1018	894	702	610	452	579	479	492
ENSSSCG00000035605	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035611	612	512	1343	1435	689	774	1721	1494	743	842	783	829
ENSSSCG00000035612	22	43	53	30	112	99	15	12	49	113	56	70
ENSSSCG00000035615	315	365	625	618	550	563	1080	1054	1283	1044	1052	1317
ENSSSCG00000035618	616	805	1051	1006	1518	1377	1536	1432	1732	1991	1711	1737
ENSSSCG00000035619	327	332	558	590	507	523	1025	1123	863	753	779	828
ENSSSCG00000035621	6	5	41	40	11	14	23	39	43	29	55	47
ENSSSCG00000035622	5539	6121	10724	10678	12358	11891	13852	11597	13576	14665	13394	14578
ENSSSCG00000035623	0	0	4	2	1	2	10	1	2	3	0	1
ENSSSCG00000035626	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035628	376	414	521	501	784	678	987	720	705	901	963	813
ENSSSCG00000035629	16	40	70	68	31	47	171	173	179	136	162	128
ENSSSCG00000035634	95	110	319	288	197	236	668	699	566	472	489	516
ENSSSCG00000035635	0	0	0	0	0	0	0	0	2	4	4	2
ENSSSCG00000035639	531	691	1142	1199	710	744	2072	1627	1298	1279	1292	1273
ENSSSCG00000035645	29	35	163	137	66	78	87	122	63	102	71	58
ENSSSCG00000035648	267	317	688	666	418	389	779	547	741	835	643	755
ENSSSCG00000035649	2	8	9	20	13	4	107	123	15	54	32	14
ENSSSCG00000035650	1711	1713	5109	5393	2421	2727	6481	6596	2674	3206	3067	2884
ENSSSCG00000035651	6	24	72	52	0	0	42	81	2	8	11	10
ENSSSCG00000035653	779	1166	2911	2527	1566	1226	2595	2053	1886	2155	1833	1953
ENSSSCG00000035655	8	30	23	16	0	46	103	0	0	37	0	38
ENSSSCG00000035657	299	348	948	929	992	1206	2526	2860	3135	2835	3365	2602
ENSSSCG00000035658	1777	2057	4425	4009	2856	3222	5719	5120	6252	5902	6149	5968
ENSSSCG00000035663	134	245	517	598	363	460	1315	1194	1287	1043	1237	1217
ENSSSCG00000035664	43	80	295	252	135	135	132	119	80	108	76	69
ENSSSCG00000035666	650	772	1858	1624	1558	1203	1853	1899	1113	1536	1281	1280
ENSSSCG00000035667	0	0	1	0	1	1	0	2	22	4	3	7
ENSSSCG00000035668	18	13	17	4	34	24	38	22	23	29	14	26
ENSSSCG00000035669	321	510	3722	2865	133	434	2640	3826	665	622	589	608
ENSSSCG00000035670	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035671	2712	2864	7748	6811	5902	5007	7520	7055	5140	6569	5927	5420
ENSSSCG00000035672	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035673	1609	1763	3700	3819	2783	2679	6104	5480	4098	4125	3703	3831
ENSSSCG00000035675	221	137	431	379	219	248	678	791	609	519	563	587
ENSSSCG00000035676	4030	4346	6066	5707	4512	4240	7296	6192	5201	5124	5229	5123
ENSSSCG00000035677	2	5	42	21	2	4	12	4	0	1	0	0
ENSSSCG00000035681	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035684	7239	8148	19728	20210	9549	10181	15195	13746	12994	13715	12632	12975
ENSSSCG00000035685	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035686	3574	4065	4453	4275	6287	5906	7003	5376	10089	7761	9470	8416
ENSSSCG00000035689	13	5	10	10	3	10	13	21	5	11	12	17
ENSSSCG00000035690	10356	9878	13327	13680	10209	10449	18675	16837	15254	15553	15286	15563
ENSSSCG00000035691	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035693	389	528	1311	1360	1406	1249	1706	1686	2130	2316	2325	2151
ENSSSCG00000035696	446	602	691	665	642	616	1210	894	1321	1152	1126	1226
ENSSSCG00000035701	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035702	260	339	522	422	415	432	745	607	819	712	687	773
ENSSSCG00000035706	12	9	27	17	17	16	65	96	63	51	59	52
ENSSSCG00000035710	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035712	65	93	443	410	45	19	159	88	31	34	26	43
ENSSSCG00000035713	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035714	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035715	35	60	285	324	67	66	224	277	243	209	251	244
ENSSSCG00000035716	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035719	569	475	945	935	785	774	1199	913	750	802	759	741
ENSSSCG00000035722	2	0	2	0	3	3	2	11	21	10	27	12
ENSSSCG00000035723	0	0	0	3	0	0	3	4	1	0	1	0
ENSSSCG00000035724	4	6	0	1	0	0	0	0	0	0	0	0
ENSSSCG00000035727	379	442	634	663	721	768	1113	976	1081	1102	940	1116
ENSSSCG00000035728	454	527	1029	1004	969	917	1248	1186	736	1121	718	971
ENSSSCG00000035729	180	266	15	24	1839	2169	11	3	5793	7560	6103	6241
ENSSSCG00000035730	140	82	259	321	508	476	360	383	1655	1566	1496	1904
ENSSSCG00000035733	4861	5660	17634	16196	7984	9111	14953	16290	7262	9512	8238	7727
ENSSSCG00000035734	2	3	0	0	0	0	2	2	0	7	0	10
ENSSSCG00000035736	108	32	415	342	272	360	1509	1918	796	755	718	765
ENSSSCG00000035737	0	0	0	2	0	0	0	0	2	1	0	0
ENSSSCG00000035738	15	0	50	23	76	83	12	12	32	47	33	22
ENSSSCG00000035739	4	22	77	70	24	21	40	20	30	34	21	26
ENSSSCG00000035741	894	842	1554	1656	1173	1312	1981	1872	1423	1262	1432	1317
ENSSSCG00000035743	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035746	835	939	1816	1871	1235	1333	2505	1904	1700	1663	1632	1815
ENSSSCG00000035747	469	441	1249	1435	826	1042	1633	1590	1317	1415	1206	1433
ENSSSCG00000035754	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035755	9	7	107	97	8	19	31	30	21	22	15	19
ENSSSCG00000035756	70	102	449	679	136	156	442	650	320	300	235	289
ENSSSCG00000035757	1389	1555	3114	3149	2196	2425	4095	3897	3585	3786	3713	4055
ENSSSCG00000035759	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035760	383	259	2442	5084	405	243	1871	1488	388	571	713	436
ENSSSCG00000035762	829	896	1594	1270	1589	1420	1886	1590	2535	2210	2236	2532
ENSSSCG00000035767	0	0	5	4	2	2	0	6	3	0	3	8
ENSSSCG00000035768	30566	38926	42254	42987	29166	29722	87094	61663	30029	35604	26896	36585
ENSSSCG00000035770	211	285	716	601	486	503	464	444	243	428	333	319
ENSSSCG00000035771	1059	1190	1374	1573	1676	1691	2404	2188	2978	2762	2787	2964
ENSSSCG00000035772	3993	3432	11129	9882	6198	6584	13000	18260	11635	10507	14157	12047
ENSSSCG00000035774	102	125	327	323	268	278	438	415	279	344	333	349
ENSSSCG00000035775	390	465	588	552	741	644	798	648	653	710	736	742
ENSSSCG00000035776	0	0	0	0	0	0	0	1	0	0	0	0
ENSSSCG00000035778	0	0	1	4	0	0	0	0	0	0	0	0
ENSSSCG00000035790	2068	2548	5577	5462	3592	3587	9471	9635	3372	4010	3810	3517
ENSSSCG00000035791	352	470	2466	2203	1352	1244	1730	1992	967	1404	1078	1075
ENSSSCG00000035795	542	629	1770	1574	997	1050	1241	1100	703	997	581	718
ENSSSCG00000035798	18	16	56	46	34	55	27	45	190	96	118	182
ENSSSCG00000035799	0	0	0	0	0	0	0	0	1	0	1	1
ENSSSCG00000035805	10643	11577	5639	6500	60572	57918	5401	7761	46218	69140	53559	49088
ENSSSCG00000035807	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035811	36125	48014	55195	50254	41510	36802	97932	74980	39645	45011	35028	46320
ENSSSCG00000035812	0	0	19	7	25	22	4	12	38	51	41	31
ENSSSCG00000035818	65	91	74	73	100	127	160	127	70	88	63	71
ENSSSCG00000035820	1389	1848	2389	1852	1032	853	2665	1739	862	1016	818	921
ENSSSCG00000035822	611	622	1287	1219	1146	1114	1985	1940	2271	1880	2393	2107
ENSSSCG00000035824	2726	2606	4223	4324	3654	4445	7212	5967	6590	6674	6932	6004
ENSSSCG00000035825	72	62	245	398	46	54	112	89	89	98	149	102
ENSSSCG00000035826	4	4	7	13	10	16	33	32	86	57	68	63
ENSSSCG00000035827	1863	2163	4233	4575	2610	2784	5255	4440	3817	3919	3615	3992
ENSSSCG00000035828	27	40	272	171	46	38	1095	319	71	74	80	68
ENSSSCG00000035829	178	172	687	636	481	508	639	608	537	672	536	595
ENSSSCG00000035833	1	3	33	19	7	8	14	16	28	19	23	16
ENSSSCG00000035836	154	179	581	576	298	261	841	962	256	346	376	329
ENSSSCG00000035837	0	2	23	16	0	0	1	0	0	0	0	0
ENSSSCG00000035838	152	166	240	235	132	192	250	186	233	224	256	221
