181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000000277	0	0	9	3	4	2	22	21	47	45	50	48
ENSSSCG00000000278	2483	2775	3983	4274	5747	5158	5792	5888	7296	7162	9657	6510
ENSSSCG00000000279	4	5	97	27	3	2	112	10	8	1	3	4
ENSSSCG00000000281	0	0	26	4	0	0	14	0	0	0	0	0
ENSSSCG00000000288	34700	36236	41938	44372	33006	31531	65180	48728	32843	35186	32730	32910
ENSSSCG00000000289	4	0	17	50	29	12	30	92	28	18	33	7
ENSSSCG00000000290	6771	7804	8700	8620	6273	5818	11244	9230	5256	6137	5573	5442
ENSSSCG00000000291	3	4	1	3	0	0	0	7	1	4	1	1
ENSSSCG00000000292	303	387	1203	975	570	731	1408	1089	1672	899	702	1313
ENSSSCG00000000293	6313	5725	9656	9673	6715	8387	11673	12091	6411	8404	8047	6871
ENSSSCG00000000295	300	137	533	508	222	288	2095	1864	595	558	647	474
ENSSSCG00000000296	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000297	559	598	750	668	369	330	560	694	535	528	490	526
ENSSSCG00000000298	828	950	277	296	1946	1442	256	137	1402	1791	1295	1800
ENSSSCG00000000299	10	7	59	60	6	14	83	131	61	45	40	46
ENSSSCG00000000318	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000327	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000333	2	0	3	10	0	2	19	0	0	0	0	0
ENSSSCG00000000352	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000353	0	0	0	0	0	0	0	1	1	0	0	0
ENSSSCG00000000359	977	1077	1369	1117	2081	1860	1802	1568	1703	2084	1694	2187
ENSSSCG00000000361	12118	12904	19797	19323	13169	13755	28126	24466	13246	15547	13155	15209
ENSSSCG00000000362	0	0	0	1	2	8	5	13	6	6	11	13
ENSSSCG00000000363	398	253	1242	1370	303	277	1147	1070	350	334	316	276
ENSSSCG00000000364	2833	2838	3606	3804	2801	2786	5451	4532	2948	3234	3025	3103
ENSSSCG00000000365	833	1025	1670	1494	835	702	1981	1383	759	879	858	878
ENSSSCG00000000366	1775	1891	3297	3285	2672	2875	5658	5219	3954	4257	4129	3830
ENSSSCG00000000367	569	591	1238	1288	1442	1687	3321	3620	2234	2179	2235	2303
ENSSSCG00000000368	140	140	523	428	208	350	1189	1314	536	503	571	573
ENSSSCG00000000370	502	523	1459	1466	527	576	2018	1895	1038	858	1088	916
ENSSSCG00000000371	189	824	3472	2601	4	4	1282	34	13	5	22	34
ENSSSCG00000000376	658	603	1244	1171	983	1011	1911	1658	1091	1102	1216	1065
ENSSSCG00000000377	6409	7219	7633	7501	7476	6461	8704	7290	7511	7979	7762	7742
ENSSSCG00000000379	3689	3887	3785	3639	3115	3301	4922	4785	3389	3072	3860	3146
ENSSSCG00000000382	3208	3227	5610	5434	4842	4920	8699	7649	8604	8012	9030	7954
ENSSSCG00000000383	735	833	1832	1802	1196	1240	3125	2415	1217	1428	1293	1375
ENSSSCG00000000384	553	635	1000	975	841	1083	1684	1404	1200	1251	1048	1230
ENSSSCG00000000385	1	3	9	5	6	2	11	39	11	13	19	15
ENSSSCG00000000386	447	381	1071	1035	1243	1149	1338	1224	2432	2026	2659	2258
ENSSSCG00000000393	1307	1490	1863	1855	1613	1660	3899	3697	4780	3895	5028	4251
ENSSSCG00000000394	1290	1396	2878	2896	1572	1541	5588	4409	1781	2159	1885	2131
ENSSSCG00000000396	1672	1559	3978	3648	1824	1956	6202	5730	3026	3101	3380	2702
ENSSSCG00000000398	101	114	368	322	149	145	397	366	184	171	229	162
ENSSSCG00000000399	669	601	1164	1145	516	456	1664	1289	730	636	754	610
ENSSSCG00000000400	0	2	0	0	2	0	0	2	1	2	0	3
ENSSSCG00000000401	11	18	28	57	5	9	60	39	62	49	40	32
ENSSSCG00000000402	1865	2142	5489	4946	1712	2111	5983	5212	3048	2780	3179	2708
ENSSSCG00000000403	837	983	2355	2152	1577	1765	3355	3013	3272	2824	3618	2853
ENSSSCG00000000405	19985	22677	23095	21210	29179	25597	25126	20207	39919	33034	33279	36797
ENSSSCG00000000406	2937	3322	5520	6253	4880	4888	7021	5706	5774	5694	5581	6101
ENSSSCG00000000411	505	573	1614	1745	1007	936	2045	1869	811	1102	998	981
ENSSSCG00000000413	15	1	6	11	73	26	28	12	35	25	32	26
ENSSSCG00000000415	1	2	3	4	0	2	3	0	7	6	7	4
